,a,b,c,d
0,0.4999679948929562,0.29423691858528855,0.12851526077790854,0.562224285867723
1,0.8123943884706483,0.2016940258917067,0.3569457229450761,0.6557413899101624
2,0.7161608673943268,0.9494336726584302,0.4499607550564132,0.14846361650259476
3,0.32787022413578204,0.7697511925333538,0.23938081773040232,0.5285157496633992
4,0.30932601550513616,0.2474440956717402,0.16076690187770493,0.5068810151829354
5,0.9981455768621303,0.9562756550765227,0.40791891858222795,0.5966672256130258
6,0.7390055712463998,0.5856603144495498,0.39555032690748915,0.9346343656776542
7,0.461525588932457,0.821080458067761,0.17951297540951605,0.667302725328603
8,0.6961241000764545,0.03677007887424766,0.031059115724430764,0.6908306691732287
9,0.35109045781888637,0.8423622524032885,0.2530070908889044,0.2800115865985727
